Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2015-10-07,0.597617,0.627348,0.661092,0.597617
ETH,2015-10-08,0.647476,0.597617,0.664707,0.592353
ETH,2015-10-09,0.639178,0.647476,0.685514,0.635641
ETH,2015-10-10,0.622336,0.639178,0.655345,0.618771
ETH,2015-10-11,0.630986,0.622336,0.642055,0.615043
ETH,2015-10-12,0.615958,0.630986,0.653016,0.60686
ETH,2015-10-13,0.580101,0.615958,0.620675,0.579744
ETH,2015-10-14,0.520789,0.580101,0.596873,0.498348
ETH,2015-10-15,0.55132,0.520789,0.588001,0.520789
ETH,2015-10-16,0.523356,0.55132,0.569163,0.517624
ETH,2015-10-17,0.549124,0.523356,0.562939,0.519669
ETH,2015-10-18,0.518259,0.549124,0.549124,0.514057
ETH,2015-10-19,0.490581,0.518259,0.531293,0.481528
ETH,2015-10-20,0.490282,0.490581,0.498685,0.435848
ETH,2015-10-21,0.428394,0.490282,0.490282,0.420975
ETH,2015-10-22,0.561577,0.428394,0.61848,0.416424
ETH,2015-10-23,0.543105,0.561577,0.627261,0.51888
ETH,2015-10-24,0.555001,0.543105,0.580723,0.537017
ETH,2015-10-25,0.626306,0.555001,0.697249,0.555001
ETH,2015-10-26,0.810927,0.626306,0.828585,0.607537
ETH,2015-10-27,0.847653,0.810927,0.893183,0.762169
ETH,2015-10-28,0.96149,0.847653,1.044225,0.817823
ETH,2015-10-29,1.25408,0.96149,1.262674,0.959245
ETH,2015-10-30,0.9483,1.25408,1.298514,0.9483
ETH,2015-10-31,0.913563,0.9483,1.019727,0.885208
ETH,2015-11-01,1.068958,0.913563,1.098801,0.913563
ETH,2015-11-02,0.964695,1.068958,1.096842,0.94303
ETH,2015-11-03,1.018074,0.964695,1.137672,0.9353
ETH,2015-11-04,0.926706,1.018074,1.018074,0.664949
ETH,2015-11-05,0.878713,0.926706,0.998852,0.836172
ETH,2015-11-06,0.916739,0.878713,0.982814,0.833477
ETH,2015-11-07,0.933398,0.916739,0.958731,0.853144
ETH,2015-11-08,1.080845,0.933398,1.118672,0.919296
ETH,2015-11-09,0.989914,1.080845,1.115411,0.934984
ETH,2015-11-10,0.854742,0.989914,1.054931,0.847376
ETH,2015-11-11,0.784963,0.854742,0.914688,0.727007
ETH,2015-11-12,0.898162,0.784963,0.920047,0.776517
ETH,2015-11-13,0.904045,0.898162,0.907578,0.852449
ETH,2015-11-14,0.89712,0.904045,0.920012,0.89111
ETH,2015-11-15,0.938097,0.89712,0.945255,0.88722
ETH,2015-11-16,0.917747,0.938097,0.946953,0.891811
ETH,2015-11-17,0.970144,0.917747,1.037365,0.917747
ETH,2015-11-18,0.991469,0.970144,1.02602,0.948385
ETH,2015-11-19,0.93856,0.991469,1.006977,0.93856
ETH,2015-11-20,0.934916,0.93856,0.950411,0.908539
ETH,2015-11-21,0.976503,0.934916,0.99314,0.920551
ETH,2015-11-22,0.987436,0.976503,0.999522,0.960253
ETH,2015-11-23,0.943054,0.987436,0.987799,0.934047
ETH,2015-11-24,0.894563,0.943054,0.951031,0.882575
ETH,2015-11-25,0.85455,0.894563,0.894563,0.843559
ETH,2015-11-26,0.895359,0.85455,0.915154,0.79875
ETH,2015-11-27,0.889247,0.895359,0.925274,0.853843
ETH,2015-11-28,0.919118,0.889247,0.948679,0.877014
ETH,2015-11-29,0.862868,0.919118,0.919118,0.862677
ETH,2015-11-30,0.864777,0.862868,0.893453,0.846057
ETH,2015-12-01,0.84846,0.864777,0.908887,0.84846
ETH,2015-12-02,0.818644,0.84846,0.885959,0.792733
ETH,2015-12-03,0.831416,0.818644,0.831416,0.791274
ETH,2015-12-04,0.834368,0.831416,0.848164,0.797144
ETH,2015-12-05,0.862831,0.834368,0.877639,0.818719
ETH,2015-12-06,0.840918,0.862831,0.873745,0.816894
ETH,2015-12-07,0.793856,0.840918,0.840918,0.781239
ETH,2015-12-08,0.802668,0.793856,0.823954,0.779
ETH,2015-12-09,0.7904,0.802668,0.805131,0.7671
ETH,2015-12-10,0.831718,0.7904,0.872826,0.779175
ETH,2015-12-11,0.957485,0.831718,1.01464,0.81845
ETH,2015-12-12,0.970127,0.957485,1.01689,0.930644
ETH,2015-12-13,0.983037,0.970127,0.994716,0.933956
ETH,2015-12-14,0.992982,0.983037,1.011003,0.979943
ETH,2015-12-15,0.976204,0.992982,1.043387,0.976204
ETH,2015-12-16,0.980235,0.976204,1.003951,0.974974
ETH,2015-12-17,0.909203,0.980235,0.980235,0.905372
ETH,2015-12-18,0.902221,0.909203,0.926197,0.897221
ETH,2015-12-19,0.906143,0.902221,0.908537,0.877137
ETH,2015-12-20,0.909542,0.906143,0.941118,0.889829
ETH,2015-12-21,0.891691,0.909542,0.909542,0.882053
ETH,2015-12-22,0.860184,0.891691,0.911462,0.852992
ETH,2015-12-23,0.85239,0.860184,0.873594,0.834472
ETH,2015-12-24,0.859723,0.85239,0.88464,0.849792
ETH,2015-12-25,0.85956,0.859723,0.882166,0.853299
ETH,2015-12-26,0.872795,0.85956,0.924995,0.845424
ETH,2015-12-27,0.87006,0.872795,0.872795,0.84625
ETH,2015-12-28,0.845619,0.87006,0.870283,0.82871
ETH,2015-12-29,0.875728,0.845619,0.875728,0.832016
ETH,2015-12-30,0.959113,0.875728,0.966379,0.868565
ETH,2015-12-31,0.939963,0.959113,0.972882,0.927273
ETH,2016-01-01,0.954338,0.939963,0.954338,0.922537
ETH,2016-01-02,0.946475,0.954338,0.959271,0.946475
ETH,2016-01-03,0.964273,0.946475,0.982807,0.946475
ETH,2016-01-04,0.9592,0.964273,0.964273,0.925421
ETH,2016-01-05,0.945187,0.9592,0.961256,0.942383
ETH,2016-01-06,0.954133,0.945187,0.972207,0.935765
ETH,2016-01-07,0.971532,0.954133,0.975174,0.925752
ETH,2016-01-08,0.973215,0.971532,0.996168,0.953553
ETH,2016-01-09,0.976544,0.973215,0.992861,0.970597
ETH,2016-01-10,1.054485,0.976544,1.05909,0.972449
ETH,2016-01-11,1.066742,1.054485,1.078768,1.012254
ETH,2016-01-12,1.123385,1.066742,1.288044,1.066742
ETH,2016-01-13,1.137388,1.123385,1.139675,1.083075
ETH,2016-01-14,1.214603,1.137388,1.215854,1.107249
ETH,2016-01-15,1.218812,1.214603,1.343353,1.082295
ETH,2016-01-16,1.22759,1.218812,1.297121,1.1911
ETH,2016-01-17,1.404201,1.22759,1.438285,1.18799
ETH,2016-01-18,1.414796,1.404201,1.540125,1.323972
ETH,2016-01-19,1.381008,1.414796,1.454112,1.299002
ETH,2016-01-20,1.570498,1.381008,1.652462,1.381008
ETH,2016-01-21,1.507437,1.570498,1.570498,1.465341
ETH,2016-01-22,1.629212,1.507437,1.629212,1.4625
ETH,2016-01-23,2.198391,1.629212,2.198391,1.629212
ETH,2016-01-24,2.191263,2.198391,2.293048,1.973409
ETH,2016-01-25,2.671689,2.191263,2.696045,2.076299
ETH,2016-01-26,2.463335,2.671689,2.817105,1.888799
ETH,2016-01-27,2.363919,2.463335,2.556561,2.214356
ETH,2016-01-28,2.54387,2.363919,2.671283,2.35056
ETH,2016-01-29,2.540141,2.54387,2.603972,2.247311
ETH,2016-01-30,2.476824,2.540141,2.568787,2.404187
ETH,2016-01-31,2.19333,2.476824,2.481568,2.13273
ETH,2016-02-01,2.144291,2.19333,2.280566,2.129905
ETH,2016-02-02,2.35222,2.144291,2.410718,2.144291
ETH,2016-02-03,2.449304,2.35222,2.507402,2.261939
ETH,2016-02-04,2.54249,2.449304,2.600239,2.414962
ETH,2016-02-05,2.524713,2.54249,2.592808,2.466636
ETH,2016-02-06,2.568608,2.524713,2.578494,2.462215
ETH,2016-02-07,2.965984,2.568608,3.124505,2.541356
ETH,2016-02-08,3.171354,2.965984,3.277971,2.948889
ETH,2016-02-09,4.274951,3.171354,4.483882,3.171354
ETH,2016-02-10,4.471621,4.274951,4.869595,3.803507
ETH,2016-02-11,6.552829,4.471621,6.727325,4.403849
ETH,2016-02-12,5.329095,6.552829,6.662628,4.817316
ETH,2016-02-13,4.767885,5.329095,5.468156,4.129623
ETH,2016-02-14,5.741672,4.767885,5.749318,4.511514
ETH,2016-02-15,5.323951,5.741672,5.854743,5.030827
ETH,2016-02-16,4.399924,5.323951,5.386504,4.055746
ETH,2016-02-17,3.635079,4.399924,4.492942,3.394183
ETH,2016-02-18,4.73599,3.635079,4.790868,3.534948
ETH,2016-02-19,4.471239,4.73599,4.73599,4.292795
ETH,2016-02-20,4.243621,4.471239,4.630951,4.095023
ETH,2016-02-21,5.100212,4.243621,5.100212,4.205182
ETH,2016-02-22,5.772068,5.100212,5.87958,4.905603
ETH,2016-02-23,5.544,5.772068,5.896438,5.334111
ETH,2016-02-24,6.141016,5.544,6.412924,5.491126
ETH,2016-02-25,5.893572,6.141016,6.379571,5.536251
ETH,2016-02-26,6.026489,5.893572,6.222999,5.708412
ETH,2016-02-27,6.343376,6.026489,6.480027,5.917643
ETH,2016-02-28,6.558609,6.343376,6.603542,6.316752
ETH,2016-02-29,6.414685,6.558609,6.62485,6.0663
ETH,2016-03-01,7.552274,6.414685,7.7903,6.259414
ETH,2016-03-02,8.512542,7.552274,8.753417,7.340874
ETH,2016-03-03,8.569114,8.512542,10.064174,8.446535
ETH,2016-03-04,10.161934,8.569114,10.406512,8.469576
ETH,2016-03-05,11.30321,10.161934,12.156682,10.099562
ETH,2016-03-06,10.786501,11.30321,11.869579,10.050117
ETH,2016-03-07,8.773093,10.786501,11.164228,8.733004
ETH,2016-03-08,10.288869,8.773093,10.288869,8.773093
ETH,2016-03-09,12.111201,10.288869,12.111201,10.281667
ETH,2016-03-10,10.831474,12.111201,12.16754,10.575527
ETH,2016-03-11,12.772452,10.831474,13.311117,10.323604
ETH,2016-03-12,14.080665,12.772452,14.527403,12.658187
ETH,2016-03-13,12.828765,14.080665,15.105487,11.687056
ETH,2016-03-14,12.03913,12.828765,14.731549,11.925188
ETH,2016-03-15,13.150548,12.03913,13.515612,12.00254
ETH,2016-03-16,12.405536,13.150548,13.629068,12.173639
ETH,2016-03-17,11.021445,12.405536,12.500171,10.448852
ETH,2016-03-18,10.611342,11.021445,11.111342,8.511897
ETH,2016-03-19,10.694646,10.611342,11.081494,9.70275
ETH,2016-03-20,10.68432,10.694646,10.753122,9.602294
ETH,2016-03-21,11.548473,10.68432,11.845531,10.510642
ETH,2016-03-22,11.535684,11.548473,11.96977,11.16504
ETH,2016-03-23,11.88883,11.535684,12.48506,11.477477
ETH,2016-03-24,10.717539,11.88883,11.88883,10.717539
ETH,2016-03-25,10.95367,10.717539,11.207295,10.420351
ETH,2016-03-26,10.798301,10.95367,11.09617,10.522462
ETH,2016-03-27,11.298643,10.798301,11.405158,10.117634
ETH,2016-03-28,11.361113,11.298643,11.866071,10.975034
ETH,2016-03-29,11.620024,11.361113,11.829948,11.361113
ETH,2016-03-30,11.906417,11.620024,12.242354,11.569303
ETH,2016-03-31,11.657835,11.906417,12.072376,11.258348
ETH,2016-04-01,11.465972,11.657835,11.937927,11.4391
ETH,2016-04-02,11.537668,11.465972,11.711177,11.357694
ETH,2016-04-03,11.638093,11.537668,11.730796,11.51203
ETH,2016-04-04,10.865302,11.638093,11.660806,10.865302
ETH,2016-04-05,10.45508,10.865302,10.98031,10.146011
ETH,2016-04-06,10.660057,10.45508,10.95641,10.249638
ETH,2016-04-07,10.264577,10.660057,10.798314,9.916314
ETH,2016-04-08,9.960003,10.264577,10.287814,9.56444
ETH,2016-04-09,9.03829,9.960003,10.108846,9.017447
ETH,2016-04-10,8.809607,9.03829,9.145276,8.069102
ETH,2016-04-11,8.088833,8.809607,8.809607,7.991384
ETH,2016-04-12,7.098819,8.088833,8.257292,7.086085
ETH,2016-04-13,8.365123,7.098819,8.687793,7.052275
ETH,2016-04-14,8.35775,8.365123,8.813259,8.177832
ETH,2016-04-15,8.246231,8.35775,8.650184,8.15073
ETH,2016-04-16,9.132143,8.246231,9.236401,8.138192
ETH,2016-04-17,9.279722,9.132143,9.790249,8.75669
ETH,2016-04-18,9.096884,9.279722,9.406546,8.550345
ETH,2016-04-19,8.596728,9.096884,9.295079,8.590517
ETH,2016-04-20,8.483955,8.596728,8.864698,8.378617
ETH,2016-04-21,8.262633,8.483955,8.770343,8.071114
ETH,2016-04-22,7.88495,8.262633,8.350891,7.755802
ETH,2016-04-23,8.475849,7.88495,8.606058,7.770358
ETH,2016-04-24,8.061256,8.475849,8.501438,7.935982
ETH,2016-04-25,7.46844,8.061256,8.164664,7.350105
ETH,2016-04-26,7.444989,7.46844,7.554191,7.137418
ETH,2016-04-27,7.54001,7.444989,7.916069,7.348068
ETH,2016-04-28,7.462268,7.54001,7.594457,7.184365
ETH,2016-04-29,7.646307,7.462268,7.699311,7.35841
ETH,2016-04-30,8.684684,7.646307,9.287948,7.637419
ETH,2016-05-01,9.069084,8.684684,9.216859,8.389681
ETH,2016-05-02,9.818807,9.069084,10.240062,9.055753
ETH,2016-05-03,9.48813,9.818807,9.884768,9.225129
ETH,2016-05-04,9.4005,9.48813,9.969927,9.327124
ETH,2016-05-05,9.920161,9.4005,10.022513,9.315602
ETH,2016-05-06,9.320362,9.920161,9.929352,9.09309
ETH,2016-05-07,9.248766,9.320362,9.496099,9.186929
ETH,2016-05-08,9.398316,9.248766,9.604208,8.921974
ETH,2016-05-09,9.409434,9.398316,9.733177,9.217434
ETH,2016-05-10,9.482134,9.409434,9.574702,9.280704
ETH,2016-05-11,9.872727,9.482134,10.03562,9.46183
ETH,2016-05-12,10.386921,9.872727,10.546895,9.85822
ETH,2016-05-13,10.283427,10.386921,10.978498,10.154265
ETH,2016-05-14,10.418331,10.283427,10.418331,9.76322
ETH,2016-05-15,10.221577,10.418331,10.441014,9.939867
ETH,2016-05-16,11.300386,10.221577,11.436223,10.028363
ETH,2016-05-17,12.671507,11.300386,12.67272,11.245219
ETH,2016-05-18,13.309152,12.671507,14.107618,12.529635
ETH,2016-05-19,14.566127,13.309152,14.855365,13.286317
ETH,2016-05-20,13.095667,14.566127,14.814047,12.696077
ETH,2016-05-21,13.721357,13.095667,13.998631,13.095667
ETH,2016-05-22,14.153041,13.721357,14.273285,13.162687
ETH,2016-05-23,13.415642,14.153041,14.320454,13.156825
ETH,2016-05-24,12.531584,13.415642,13.737555,12.024345
ETH,2016-05-25,12.8516,12.531584,12.8516,11.645415
ETH,2016-05-26,11.297005,12.8516,12.8516,11.194198
ETH,2016-05-27,10.602814,11.297005,11.769244,10.310073
ETH,2016-05-28,11.973384,10.602814,12.292218,10.391192
ETH,2016-05-29,12.302019,11.973384,12.492416,11.658172
ETH,2016-05-30,12.696851,12.302019,12.836598,12.209677
ETH,2016-05-31,13.89002,12.696851,14.266257,12.598474
ETH,2016-06-01,13.630606,13.89002,14.19318,13.315896
ETH,2016-06-02,13.826359,13.630606,14.056837,13.531775
ETH,2016-06-03,13.619672,13.826359,13.891786,13.314071
ETH,2016-06-04,13.637499,13.619672,14.071676,13.520225
ETH,2016-06-05,13.753011,13.637499,14.092636,13.594219
ETH,2016-06-06,13.943334,13.753011,14.067844,13.646573
ETH,2016-06-07,14.655687,13.943334,14.817376,13.804021
ETH,2016-06-08,14.466797,14.655687,14.780898,14.242019
ETH,2016-06-09,14.200965,14.466797,14.623372,14.182128
ETH,2016-06-10,13.8645,14.200965,14.360574,13.774487
ETH,2016-06-11,14.301974,13.8645,14.348481,13.713553
ETH,2016-06-12,15.441725,14.301974,15.674757,14.096991
ETH,2016-06-13,17.99626,15.441725,17.99626,15.441725
ETH,2016-06-14,18.396721,17.99626,19.026443,15.482221
ETH,2016-06-15,18.661962,18.396721,18.776615,17.471641
ETH,2016-06-16,21.2794,18.661962,21.2794,18.437552
ETH,2016-06-17,14.262145,21.2794,21.371932,13.475022
ETH,2016-06-18,12.721143,14.262145,14.431359,9.813441
ETH,2016-06-19,12.250261,12.721143,13.182042,11.655573
ETH,2016-06-20,11.174118,12.250261,12.250261,10.552819
ETH,2016-06-21,14.95764,11.174118,14.95764,11.174118
ETH,2016-06-22,13.107161,14.95764,15.825651,13.010636
ETH,2016-06-23,13.665296,13.107161,14.018602,12.546181
ETH,2016-06-24,14.569529,13.665296,14.677659,13.483163
ETH,2016-06-25,14.209372,14.569529,14.630463,14.00275
ETH,2016-06-26,13.931138,14.209372,14.254505,13.601123
ETH,2016-06-27,13.886,13.931138,14.124331,13.745781
ETH,2016-06-28,11.915406,13.886,13.886,11.608687
ETH,2016-06-29,12.494312,11.915406,13.040646,11.742016
ETH,2016-06-30,12.374262,12.494312,12.771581,12.277169
ETH,2016-07-01,12.179126,12.374262,12.466715,11.77184
ETH,2016-07-02,12.086667,12.179126,12.19652,11.912585
ETH,2016-07-03,11.78207,12.086667,12.130985,11.545934
ETH,2016-07-04,11.359705,11.78207,11.91857,11.176726
ETH,2016-07-05,10.326753,11.359705,11.359705,9.516475
ETH,2016-07-06,10.13188,10.326753,11.068288,10.13188
ETH,2016-07-07,10.048061,10.13188,10.156855,9.616186
ETH,2016-07-08,10.901109,10.048061,11.489143,9.918611
ETH,2016-07-09,10.823896,10.901109,11.090104,10.641815
ETH,2016-07-10,11.047635,10.823896,11.059526,10.753827
ETH,2016-07-11,10.457758,11.047635,11.070943,10.275408
ETH,2016-07-12,10.515661,10.457758,10.80132,10.42856
ETH,2016-07-13,10.881305,10.515661,11.141984,10.435868
ETH,2016-07-14,11.885718,10.881305,11.913519,10.825968
ETH,2016-07-15,11.951451,11.885718,12.420725,11.704235
ETH,2016-07-16,11.561825,11.951451,11.990208,11.500205
ETH,2016-07-17,11.411313,11.561825,11.589526,11.026217
ETH,2016-07-18,11.139944,11.411313,11.693156,11.005692
ETH,2016-07-19,11.735039,11.139944,12.05845,11.083709
ETH,2016-07-20,12.376475,11.735039,12.906663,11.637433
ETH,2016-07-21,12.553567,12.376475,12.747616,12.056129
ETH,2016-07-22,14.502578,12.553567,14.873992,12.553567
ETH,2016-07-23,14.190763,14.502578,14.656297,14.021562
ETH,2016-07-24,13.385314,14.190763,14.42046,12.311137
ETH,2016-07-25,13.618806,13.385314,13.870778,13.120835
ETH,2016-07-26,12.393433,13.618806,13.796733,11.795393
ETH,2016-07-27,12.844266,12.393433,13.327196,12.136261
ETH,2016-07-28,12.73773,12.844266,13.032273,12.510595
ETH,2016-07-29,12.733222,12.73773,12.945771,12.555962
ETH,2016-07-30,12.377607,12.733222,12.79846,12.242184
ETH,2016-07-31,11.78049,12.377607,12.535916,11.480091
ETH,2016-08-01,10.646814,11.78049,11.838278,10.578663
ETH,2016-08-02,9.429077,10.646814,10.741179,7.296161
ETH,2016-08-03,10.563403,9.429077,10.624394,9.025369
ETH,2016-08-04,10.900653,10.563403,11.487268,10.340147
ETH,2016-08-05,10.793019,10.900653,11.155046,10.709488
ETH,2016-08-06,10.904812,10.793019,10.96482,10.19097
ETH,2016-08-07,11.134518,10.904812,11.312444,10.840259
ETH,2016-08-08,11.367989,11.134518,11.407472,10.989387
ETH,2016-08-09,12.579432,11.367989,12.796428,11.297791
ETH,2016-08-10,12.098701,12.579432,12.839572,12.027246
ETH,2016-08-11,11.651671,12.098701,12.129859,11.624675
ETH,2016-08-12,11.759793,11.651671,12.151235,11.651671
ETH,2016-08-13,11.533494,11.759793,11.808803,11.461698
ETH,2016-08-14,11.250161,11.533494,11.700382,11.041044
ETH,2016-08-15,11.082952,11.250161,11.308925,10.949114
ETH,2016-08-16,11.021117,11.082952,11.222874,10.96074
ETH,2016-08-17,10.836692,11.021117,11.10871,10.69269
ETH,2016-08-18,10.723738,10.836692,10.991685,10.661688
ETH,2016-08-19,10.974623,10.723738,10.998819,10.658175
ETH,2016-08-20,11.117599,10.974623,11.347875,10.917412
ETH,2016-08-21,11.168643,11.117599,11.27453,10.99796
ETH,2016-08-22,11.244944,11.168643,11.388122,11.065119
ETH,2016-08-23,11.101393,11.244944,11.279951,10.898388
ETH,2016-08-24,11.11745,11.101393,11.163926,10.980487
ETH,2016-08-25,11.427117,11.11745,11.451663,11.095646
ETH,2016-08-26,11.191805,11.427117,11.471034,11.147091
ETH,2016-08-27,11.077814,11.191805,11.272103,11.040686
ETH,2016-08-28,10.836503,11.077814,11.141317,10.824817
ETH,2016-08-29,11.053865,10.836503,11.148444,10.831168
ETH,2016-08-30,11.218456,11.053865,11.332084,10.959657
ETH,2016-08-31,12.080199,11.218456,12.080199,11.174337
ETH,2016-09-01,12.086755,12.080199,12.652136,11.90796
ETH,2016-09-02,12.334285,12.086755,12.485157,11.895051
ETH,2016-09-03,11.722517,12.334285,12.374577,11.594317
ETH,2016-09-04,11.809063,11.722517,11.895233,11.587486
ETH,2016-09-05,11.685958,11.809063,11.881826,11.607342
ETH,2016-09-06,11.705249,11.685958,11.83281,11.537908
ETH,2016-09-07,11.612994,11.705249,11.791357,11.583064
ETH,2016-09-08,11.567017,11.612994,11.848444,11.32989
ETH,2016-09-09,11.76883,11.567017,11.815938,11.503552
ETH,2016-09-10,12.171771,11.76883,12.291963,11.580692
ETH,2016-09-11,11.779397,12.171771,12.171771,11.620614
ETH,2016-09-12,12.017102,11.779397,12.142141,11.729836
ETH,2016-09-13,12.034831,12.017102,12.185265,11.966581
ETH,2016-09-14,12.137046,12.034831,12.139394,11.858917
ETH,2016-09-15,11.981109,12.137046,12.207869,11.953814
ETH,2016-09-16,12.523064,11.981109,12.811335,11.971451
ETH,2016-09-17,12.739668,12.523064,12.836547,12.497738
ETH,2016-09-18,12.820767,12.739668,13.060736,12.221537
ETH,2016-09-19,13.433515,12.820767,13.513345,12.772507
ETH,2016-09-20,14.243642,13.433515,14.43947,13.32633
ETH,2016-09-21,13.41168,14.243642,14.289976,13.166628
ETH,2016-09-22,13.143369,13.41168,13.41168,12.499599
ETH,2016-09-23,13.198914,13.143369,13.476304,13.107776
ETH,2016-09-24,13.069967,13.198914,13.299415,12.743252
ETH,2016-09-25,12.8951,13.069967,13.194911,12.876729
ETH,2016-09-26,12.95477,12.8951,12.99736,12.782848
ETH,2016-09-27,13.43472,12.95477,13.485701,12.938666
ETH,2016-09-28,13.261939,13.43472,13.455422,13.178539
ETH,2016-09-29,13.042521,13.261939,13.26798,13.011786
ETH,2016-09-30,13.166937,13.042521,13.378254,13.030857
ETH,2016-10-01,13.164201,13.166937,13.329332,13.052825
ETH,2016-10-02,13.168065,13.164201,13.299226,13.1297
ETH,2016-10-03,13.456315,13.168065,13.549699,13.150655
ETH,2016-10-04,13.278997,13.456315,13.511857,13.207746
ETH,2016-10-05,13.095678,13.278997,13.362147,12.963084
ETH,2016-10-06,12.947742,13.095678,13.125691,12.73446
ETH,2016-10-07,12.641213,12.947742,12.992007,12.57274
ETH,2016-10-08,12.254665,12.641213,12.718433,12.059331
ETH,2016-10-09,11.951233,12.254665,12.394357,11.929703
ETH,2016-10-10,12.135368,11.951233,12.135368,11.621834
ETH,2016-10-11,11.74605,12.135368,12.234807,11.73164
ETH,2016-10-12,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-13,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-14,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-15,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-16,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-17,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-18,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-19,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-20,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-21,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-22,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-23,11.74605,11.74605,11.74605,11.74605
ETH,2016-10-24,11.7933,11.74605,12.052596,11.74605
ETH,2016-10-25,11.519947,11.7933,11.81904,11.155683
ETH,2016-10-26,11.449855,11.519947,11.702124,11.326968
ETH,2016-10-27,11.545675,11.449855,11.600258,11.254618
ETH,2016-10-28,11.173315,11.545675,11.559103,10.954144
ETH,2016-10-29,10.53241,11.173315,11.217423,9.596391
